Self Sourcing Component Lists,,,,,
,,,,,
MSX Memory Module,,Notes,Digikey,Mouser,Other
13,0.1uF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5UL2/2820511,https://au.mouser.com/ProductDetail/594-K104K15X7RF5UL2,
1,HEADER 2x3,,,,
2,AS6C4008,,https://www.digikey.com.au/product-detail/en/AS6C4008-55PCN/1450-1027-ND/4234586/?itemSeq=362665471,https://au.mouser.com/ProductDetail/Alliance-Memory/AS6C4008-55PCN/?qs=E5c5%252Bmu3i3%252BMOyro1Tlhzg%3D%3D,
2,74HCT670,*3,,,
2,ATF22V10C-10PU,*1,https://www.digikey.com.au/en/products/detail/microchip-technology/ATF22V10C-7PX/1007479,https://au.mouser.com/ProductDetail/556-ATF22V10C-10PU,
1,74HCT153,,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT153EE4?qs=xFfolx0DHx25MJNHfpRcWQ%3D%3D,
1,74HCT273,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT273N/296-1613-5-ND/277259,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT273EE4?qs=xFfolx0DHx1JPblri%252Blx3Q%3D%3D,
1,74HC540,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HC540N/296-8334-5-ND/376740,https://au.mouser.com/ProductDetail/595-SN74HC540N,
1,SST39SF040,*1,https://www.digikey.com.au/en/products/detail/microchip-technology/SST39SF040-70-4C-PHE/2297835,https://au.mouser.com/ProductDetail/Microchip-Technology/SST39SF040-70-4C-PHE?qs=%2Fha2pyFadujkDeZaoAyEnm50qWV0jYNPQ%252BfI5%2FdRjl8%3D,
2,74HCT30,,https://www.digikey.com.au/product-detail/en/texas-instruments/CD74HCT30E/296-2111-5-ND/38500,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT30E?qs=KaAwwOlwapuINyLCJr3fLQ%3D%3D,
1,74HCT138,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT138N/296-1608-5-ND/277254,https://au.mouser.com/ProductDetail/595-SN74HCT138NE4,
2,Jumper wires,,,,
1,Right Angle 20x2 Header,,https://www.digikey.com.au/en/products/detail/PH2RA-40-UA/2057-PH2RA-40-UA-ND/9831053,https://au.mouser.com/ProductDetail/Amphenol-FCI/68020-140HLF?qs=QKvFUfBIyQLna9O9OUsYjA%3D%3D,
